sample_id	genotype_id	qtl_group	sex
ERR188021	NA20508	LCL	female
ERR188022	NA12812	LCL	male
ERR188023	HG00315	LCL	female
ERR188024	NA12749	LCL	female
ERR188026	NA20510	LCL	male
ERR188027	NA07056	LCL	female
ERR188028	HG00155	LCL	male
ERR188029	HG00355	LCL	female
ERR188030	NA19119	LCL	male
ERR188031	HG00350	LCL	female
ERR188032	NA12275	LCL	female
ERR188033	HG00336	LCL	male
ERR188034	HG00273	LCL	male
ERR188035	HG00123	LCL	female
ERR188036	HG00236	LCL	female
ERR188037	NA19236	LCL	male
ERR188038	HG00345	LCL	male
ERR188039	NA12144	LCL	male
ERR188040	HG00096	LCL	male
ERR188041	HG00157	LCL	male
ERR188042	NA19204	LCL	female
ERR188043	HG00384	LCL	female
ERR188044	NA18498	LCL	male
ERR188045	HG00321	LCL	male
ERR188046	HG00320	LCL	female
ERR188047	NA06994	LCL	male
ERR188048	NA12489	LCL	female
ERR188049	NA11931	LCL	female
ERR188050	NA20518	LCL	male
ERR188051	NA12830	LCL	female
ERR188052	NA20541	LCL	female
ERR188053	HG00242	LCL	male
ERR188054	NA20752	LCL	male
ERR188055	NA19171	LCL	male
ERR188056	HG00331	LCL	female
ERR188057	HG00262	LCL	female
ERR188058	NA12005	LCL	male
ERR188059	HG00125	LCL	female
ERR188060	NA18517	LCL	female
ERR188061	NA12761	LCL	female
ERR188062	NA11992	LCL	male
ERR188063	NA20509	LCL	male
ERR188064	NA19144	LCL	male
ERR188065	HG00149	LCL	male
ERR188066	NA19118	LCL	female
ERR188067	NA11831	LCL	male
ERR188068	NA20759	LCL	male
ERR188069	NA19096	LCL	male
ERR188070	HG00263	LCL	female
ERR188071	HG00114	LCL	male
ERR188072	NA19137	LCL	female
ERR188073	HG00145	LCL	male
ERR188074	NA19257	LCL	female
ERR188075	HG00349	LCL	female
ERR188076	NA12006	LCL	female
ERR188077	NA11893	LCL	male
ERR188078	HG00372	LCL	male
ERR188079	NA20778	LCL	male
ERR188080	HG00250	LCL	female
ERR188081	NA12814	LCL	male
ERR188082	HG00110	LCL	female
ERR188083	HG00285	LCL	female
ERR188085	NA18520	LCL	female
ERR188086	NA11892	LCL	female
ERR188087	HG00121	LCL	female
ERR188088	NA20504	LCL	female
ERR188089	HG00358	LCL	male
ERR188090	HG00186	LCL	male
ERR188091	HG00256	LCL	male
ERR188092	NA12546	LCL	male
ERR188094	NA20806	LCL	male
ERR188095	HG00137	LCL	female
ERR188096	NA18933	LCL	female
ERR188097	NA18511	LCL	female
ERR188098	HG00337	LCL	female
ERR188099	NA12843	LCL	female
ERR188100	NA12762	LCL	male
ERR188101	NA10847	LCL	female
ERR188102	HG00383	LCL	female
ERR188103	NA19184	LCL	male
ERR188104	NA19146	LCL	male
ERR188105	NA20768	LCL	female
ERR188107	NA12342	LCL	male
ERR188108	NA20754	LCL	male
ERR188109	NA19121	LCL	male
ERR188110	NA20760	LCL	female
ERR188111	HG00255	LCL	female
ERR188112	HG00239	LCL	female
ERR188113	HG00324	LCL	female
ERR188114	NA20534	LCL	male
ERR188115	HG00382	LCL	male
ERR188116	HG00151	LCL	male
ERR188117	HG00268	LCL	female
ERR188118	HG00181	LCL	male
ERR188119	HG00119	LCL	male
ERR188120	NA19256	LCL	male
ERR188121	HG00311	LCL	male
ERR188122	NA11894	LCL	female
ERR188123	HG00313	LCL	female
ERR188124	HG00351	LCL	male
ERR188125	NA20826	LCL	female
ERR188126	NA20766	LCL	female
ERR188127	HG00334	LCL	female
ERR188128	NA19092	LCL	male
ERR188129	NA19197	LCL	female
ERR188130	HG00261	LCL	female
ERR188131	NA19213	LCL	male
ERR188132	NA20797	LCL	female
ERR188134	NA12827	LCL	male
ERR188136	HG00103	LCL	male
ERR188137	NA20812	LCL	male
ERR188138	NA20539	LCL	male
ERR188139	NA18917	LCL	male
ERR188140	NA12716	LCL	male
ERR188141	HG00343	LCL	female
ERR188142	NA12287	LCL	female
ERR188144	HG00139	LCL	male
ERR188145	NA20519	LCL	male
ERR188146	HG00180	LCL	female
ERR188147	NA20804	LCL	female
ERR188148	NA12282	LCL	male
ERR188149	HG00182	LCL	male
ERR188150	HG00366	LCL	male
ERR188151	NA18489	LCL	female
ERR188152	NA12751	LCL	female
ERR188153	NA20765	LCL	male
ERR188154	HG00251	LCL	male
ERR188155	NA20790	LCL	female
ERR188156	HG00335	LCL	male
ERR188157	NA12872	LCL	male
ERR188158	NA18502	LCL	female
ERR188159	HG00245	LCL	female
ERR188160	NA20513	LCL	male
ERR188161	NA11918	LCL	female
ERR188162	NA18508	LCL	female
ERR188163	HG00174	LCL	female
ERR188164	HG00159	LCL	male
ERR188165	NA18510	LCL	male
ERR188166	HG00108	LCL	male
ERR188167	HG00106	LCL	female
ERR188168	HG00346	LCL	female
ERR188169	HG00338	LCL	male
ERR188170	NA19131	LCL	female
ERR188171	NA20783	LCL	male
ERR188172	NA12154	LCL	male
ERR188173	NA20785	LCL	male
ERR188174	NA19198	LCL	male
ERR188176	NA07357	LCL	male
ERR188177	NA12234	LCL	female
ERR188178	NA19114	LCL	female
ERR188179	NA20774	LCL	female
ERR188180	HG00177	LCL	female
ERR188181	NA12413	LCL	male
ERR188182	NA18912	LCL	female
ERR188183	NA19185	LCL	female
ERR188184	NA19147	LCL	female
ERR188185	HG00260	LCL	male
ERR188186	HG00115	LCL	male
ERR188187	HG00176	LCL	female
ERR188188	NA19099	LCL	female
ERR188189	HG00133	LCL	female
ERR188190	HG00171	LCL	female
ERR188191	NA20770	LCL	male
ERR188192	NA20786	LCL	female
ERR188193	NA19141	LCL	male
ERR188194	HG00284	LCL	male
ERR188195	NA20792	LCL	male
ERR188196	NA12717	LCL	female
ERR188197	HG00341	LCL	male
ERR188198	HG00373	LCL	female
ERR188199	NA20585	LCL	female
ERR188200	NA18519	LCL	male
ERR188201	NA20588	LCL	male
ERR188202	NA06989	LCL	female
ERR188203	NA20542	LCL	female
ERR188204	NA20524	LCL	male
ERR188205	HG00310	LCL	male
ERR188206	HG00100	LCL	female
ERR188207	NA19222	LCL	female
ERR188208	NA20538	LCL	male
ERR188209	NA19214	LCL	female
ERR188211	NA19175	LCL	male
ERR188212	HG00231	LCL	female
ERR188213	NA06986	LCL	male
ERR188214	NA18486	LCL	male
ERR188215	HG00361	LCL	female
ERR188216	NA12873	LCL	female
ERR188217	NA11832	LCL	female
ERR188218	HG00325	LCL	male
ERR188219	HG00117	LCL	male
ERR188220	NA12400	LCL	female
ERR188221	NA19113	LCL	male
ERR188222	HG00265	LCL	male
ERR188223	NA18908	LCL	male
ERR188224	NA20528	LCL	male
ERR188225	NA19152	LCL	female
ERR188226	NA20532	LCL	male
ERR188227	NA12874	LCL	male
ERR188228	NA12829	LCL	male
ERR188229	NA12044	LCL	female
ERR188230	HG00278	LCL	male
ERR188231	HG00097	LCL	female
ERR188232	NA19160	LCL	male
ERR188234	NA19116	LCL	female
ERR188235	NA11930	LCL	male
ERR188236	HG00118	LCL	female
ERR188237	HG00234	LCL	male
ERR188238	HG00269	LCL	female
ERR188239	NA20520	LCL	male
ERR188240	HG00306	LCL	female
ERR188241	HG00356	LCL	female
ERR188242	HG00258	LCL	female
ERR188243	NA19098	LCL	male
ERR188244	NA12718	LCL	female
ERR188245	HG00128	LCL	female
ERR188246	NA11840	LCL	female
ERR188248	HG00178	LCL	female
ERR188249	NA20802	LCL	female
ERR188250	HG00272	LCL	female
ERR188251	NA20756	LCL	female
ERR188252	NA20544	LCL	male
ERR188253	NA20808	LCL	female
ERR188254	NA20506	LCL	female
ERR188255	HG00323	LCL	female
ERR188256	NA12777	LCL	male
ERR188257	HG00143	LCL	male
ERR188258	NA20530	LCL	female
ERR188259	NA20582	LCL	female
ERR188260	HG00369	LCL	male
ERR188261	NA19108	LCL	female
ERR188262	NA12283	LCL	female
ERR188263	HG00281	LCL	female
ERR188264	HG00274	LCL	female
ERR188265	NA20814	LCL	male
ERR188266	HG00282	LCL	female
ERR188267	HG00266	LCL	female
ERR188268	NA19095	LCL	female
ERR188269	NA18916	LCL	female
ERR188270	HG00342	LCL	male
ERR188271	HG00246	LCL	male
ERR188272	NA11881	LCL	male
ERR188273	NA18505	LCL	female
ERR188274	HG00277	LCL	male
ERR188275	NA19201	LCL	female
ERR188276	NA20758	LCL	male
ERR188277	NA12340	LCL	male
ERR188278	NA18861	LCL	female
ERR188279	NA12776	LCL	female
ERR188280	HG00381	LCL	female
ERR188281	NA20801	LCL	male
ERR188282	NA20809	LCL	male
ERR188283	NA18907	LCL	female
ERR188284	NA19223	LCL	male
ERR188285	HG00122	LCL	female
ERR188286	NA20805	LCL	male
ERR188288	NA20507	LCL	female
ERR188289	HG00232	LCL	female
ERR188290	NA20811	LCL	male
ERR188291	NA12813	LCL	female
ERR188292	NA19189	LCL	male
ERR188293	HG00116	LCL	male
ERR188294	HG00332	LCL	female
ERR188295	NA20757	LCL	female
ERR188296	HG00330	LCL	female
ERR188297	NA20503	LCL	female
ERR188298	NA18867	LCL	female
ERR188299	HG00376	LCL	female
ERR188300	HG00319	LCL	female
ERR188301	NA11994	LCL	male
ERR188302	HG00183	LCL	male
ERR188303	HG00364	LCL	female
ERR188304	HG00179	LCL	female
ERR188305	NA20773	LCL	female
ERR188306	NA19138	LCL	male
ERR188307	HG00101	LCL	male
ERR188308	NA12760	LCL	male
ERR188309	HG00150	LCL	female
ERR188311	NA18488	LCL	female
ERR188312	HG00233	LCL	female
ERR188313	NA18873	LCL	female
ERR188314	HG00380	LCL	female
ERR188315	HG00120	LCL	female
ERR188316	NA20796	LCL	male
ERR188317	NA20527	LCL	male
ERR188318	HG00276	LCL	female
ERR188319	NA12249	LCL	female
ERR188320	HG00185	LCL	male
ERR188321	HG00339	LCL	female
ERR188322	NA19190	LCL	female
ERR188323	HG00257	LCL	female
ERR188324	NA07347	LCL	male
ERR188325	NA06984	LCL	male
ERR188326	HG00275	LCL	female
ERR188327	NA06985	LCL	female
ERR188328	HG00109	LCL	male
ERR188329	NA20505	LCL	female
ERR188330	HG00379	LCL	female
ERR188331	NA12155	LCL	male
ERR188332	HG00158	LCL	female
ERR188333	HG00238	LCL	female
ERR188334	NA20543	LCL	male
ERR188335	NA20798	LCL	male
ERR188336	NA12004	LCL	female
ERR188337	HG00127	LCL	female
ERR188339	NA12815	LCL	female
ERR188340	HG00353	LCL	female
ERR188341	HG00328	LCL	female
ERR188342	HG00111	LCL	female
ERR188343	NA20589	LCL	female
ERR188344	NA18868	LCL	male
ERR188345	NA20771	LCL	female
ERR188347	NA20525	LCL	male
ERR188348	NA11995	LCL	female
ERR188349	NA12842	LCL	male
ERR188350	NA12399	LCL	male
ERR188351	HG00253	LCL	female
ERR188352	NA18909	LCL	female
ERR188353	NA20586	LCL	male
ERR188354	NA12775	LCL	male
ERR188355	HG00267	LCL	male
ERR188356	NA20514	LCL	female
ERR188357	NA20517	LCL	female
ERR188358	HG00367	LCL	female
ERR188360	NA20787	LCL	male
ERR188361	HG00189	LCL	male
ERR188362	HG00371	LCL	male
ERR188363	NA19206	LCL	female
ERR188364	NA19248	LCL	male
ERR188365	NA19117	LCL	male
ERR188366	HG00264	LCL	male
ERR188367	NA19102	LCL	female
ERR188368	HG00105	LCL	male
ERR188369	NA20512	LCL	male
ERR188370	HG00240	LCL	female
ERR188371	NA11920	LCL	female
ERR188372	NA20807	LCL	female
ERR188373	NA18870	LCL	female
ERR188374	HG00360	LCL	male
ERR188375	NA18858	LCL	female
ERR188376	NA07037	LCL	female
ERR188377	NA12045	LCL	male
ERR188378	HG00259	LCL	female
ERR188379	HG00148	LCL	male
ERR188380	NA20502	LCL	female
ERR188381	NA20769	LCL	female
ERR188382	NA20536	LCL	male
ERR188383	HG00136	LCL	male
ERR188384	NA20795	LCL	female
ERR188385	HG00138	LCL	male
ERR188386	NA20521	LCL	male
ERR188387	HG00160	LCL	male
ERR188388	NA12341	LCL	female
ERR188389	NA10851	LCL	male
ERR188390	NA19235	LCL	female
ERR188391	HG01789	LCL	male
ERR188392	NA19210	LCL	male
ERR188393	NA20772	LCL	female
ERR188394	NA20813	LCL	female
ERR188395	HG00365	LCL	female
ERR188396	NA12383	LCL	female
ERR188397	HG00271	LCL	male
ERR188398	NA20535	LCL	female
ERR188399	NA20531	LCL	female
ERR188400	HG00188	LCL	male
ERR188401	HG00141	LCL	male
ERR188402	NA20581	LCL	male
ERR188403	HG00131	LCL	male
ERR188404	NA12750	LCL	male
ERR188405	NA20799	LCL	female
ERR188406	NA20828	LCL	female
ERR188407	HG01790	LCL	female
ERR188408	NA20810	LCL	male
ERR188409	NA18923	LCL	male
ERR188410	NA12156	LCL	female
ERR188411	HG00243	LCL	male
ERR188412	HG00129	LCL	male
ERR188413	NA12890	LCL	female
ERR188414	NA12043	LCL	male
ERR188415	NA12058	LCL	female
ERR188416	HG00102	LCL	female
ERR188417	HG00327	LCL	female
ERR188418	HG00326	LCL	female
ERR188419	NA20800	LCL	female
ERR188420	NA12763	LCL	female
ERR188421	NA19225	LCL	female
ERR188422	NA19172	LCL	female
ERR188423	NA19107	LCL	male
ERR188424	NA20819	LCL	female
ERR188425	HG00187	LCL	male
ERR188426	NA11843	LCL	male
ERR188427	NA19159	LCL	female
ERR188428	HG00099	LCL	female
ERR188429	NA12889	LCL	male
ERR188430	HG00132	LCL	female
ERR188431	NA12273	LCL	female
ERR188432	HG00309	LCL	female
ERR188433	NA11829	LCL	male
ERR188434	NA19209	LCL	female
ERR188435	NA11830	LCL	female
ERR188436	NA20540	LCL	female
ERR188437	NA20803	LCL	male
ERR188438	NA12272	LCL	male
ERR188439	HG00329	LCL	male
ERR188440	NA19200	LCL	male
ERR188441	NA12348	LCL	female
ERR188442	NA18910	LCL	male
ERR188443	HG00130	LCL	female
ERR188444	NA19129	LCL	female
ERR188445	HG00173	LCL	female
ERR188446	NA12347	LCL	male
ERR188447	NA18934	LCL	male
ERR188448	HG00244	LCL	male
ERR188449	NA18499	LCL	female
ERR188450	HG00235	LCL	female
ERR188451	NA19149	LCL	female
ERR188452	NA20515	LCL	male
ERR188453	NA20529	LCL	female
ERR188454	NA19207	LCL	male
ERR188455	HG00146	LCL	female
ERR188457	HG00280	LCL	male
ERR188458	NA20516	LCL	male
ERR188459	NA19143	LCL	female
ERR188460	NA19153	LCL	male
ERR188461	HG00126	LCL	male
ERR188462	HG00375	LCL	male
ERR188463	NA19247	LCL	female
ERR188464	HG00252	LCL	male
ERR188465	HG00112	LCL	male
ERR188466	HG00142	LCL	male
ERR188467	NA12286	LCL	male
ERR188468	HG00154	LCL	female
ERR188469	HG01334	LCL	male
ERR188470	HG02215	LCL	female
ERR188471	NA19130	LCL	male
ERR188472	HG00378	LCL	female
ERR188473	HG00344	LCL	female
ERR188474	NA07051	LCL	male
ERR188475	NA20815	LCL	male
ERR188476	NA19093	LCL	female
ERR188477	NA12778	LCL	female
ERR188478	HG01791	LCL	male
ERR188479	NA20761	LCL	female
ERR188480	HG00362	LCL	female
ERR188481	NA07048	LCL	male
ERR188482	HG00308	LCL	male